,Insult,Comment
29,0,even though i think there are better coach out there i am glad del negro is keep hi job i never thought he got enough credit those year when he took those averag chicago bull team he coach to the playoff 2 year in a row
30,0,russellpianoxa0nhmmmmhow can we spin obama honor vietnam troop as someth negativeansw doesnt matter look at our follow theyll take anythingnnnobama team xa0hmmm how can we make the liber messiah look better in light of the revel of hi leak classifi inform to the new york timesi know let have a bogu photo shoot at the viet nam memori that will make obama look like he care about vet but first well have to clear all the vet out of the immedi area becaus they cant be trust
31,0,a good articl which for all the good it will do could have been deliv to a brick wall
32,0,head up warninganoth sourc of fund for media matter is peter lewi of the progess insur compani you know those auto insur commerci that run everi 5 minut on cabl televis featur the gal who look like a blowup doll with red lip andxc2xa0a perfectli round mouthif you know what i meannif you have progressivexc2xa0auto insur just know that part of your premium is go to fund a progress liberalxc2xa0organ hell bentxc2xa0on destroyingxc2xa0our countri and our free speech their mission is toxc2xa0br downxc2xa0hannitybeckdobbslavinlimbaughboortzetc we must not let them win
33,0,sdnoriko lol as if capcom listen watch them fuck thi up too i hope i am wrong i love okami
34,1,allinit123 yourxa0hypocrisyxa0i sicken you ignor loser
35,0,fast furiou didnt work out like they plan did itlololololololol
36,0,mitt isnt the best candid for presidentbut go against the worstxa0candidatexa0ev should help him tremend xa0lolxa0nnobama is one and doneit could happen no other way
37,1,i cant believ the stupid peopl on thi site that have no idea what is go onxa0 you foolsxa0 you are all use idiotsxa0 they are hide the truth becaus you fool who protect him would look like the use idiot you are
38,1,fuck behav then you prick
39,0,the onli other relev fact is that he is destroy america
40,0,you are a liar
41,1,is that it your sum total to ani convers is first abus and then call them a troll you are a typic socialist idiot keep up your non exist class warfar it is as pointless as you
42,0,beanstalk briview welp then nbw right
43,0,good job fella i didnt quit read the rule about a signatur piec but i guess that wa as good as ani i found some great blog to follow and to share over at g if im not comment on your blog it becaus i alway throw my two cent in when i post my share add me on there if you are a googler nhttpsplusgooglecom109258118458627782001post again congratul to the winner and i hope we get the chanc to submit someth els thi wa fuck fun
44,0,i say hang is ass in the center of the town to let it be known that thi type of behavior get thi type of punish the ladi had a kid 1 week ago women arent safe to have sex after child birth for at least 6 week so even if thi wasxc2xa0consensu it would have been wayyyyy too soon and hurt the ladi i am so glad the the babi is so young and will not rememb thi event happen in it hous and i hope the mother recov quickli
45,1,faggot
46,0,you right if you are relax then you can give better result or perform and your ident should be from your work
47,1,aimless abe you are a delus weirdo that should be lock up insid and kept away from computersxa0 anyon who doubt the lunaci of abe the moron prog frog from nyc pleas read thi thread and you will see abe complet come apart from the seam and go off the deep end
48,0,that i do not doubtnna a blackberri clonennbut your origin argument wa not that android would have exist just that android somehow predat io develop
49,0,okc should work out a deal to get a pg who play more like parker or cp3 i think nash at the point and move westbrook to sg that team would be unstopp imagin the shot nash would creat for durant then westbrook would be at hi natur posit too the guy doesnt creat shot or distribut
50,0,maher show goe on and onnpalinsxa0 alakda show get cancelednnisnt the free market wonder
51,1,even as a troll you are a pathet failur
52,0,grazi mill sabrina sei cosxec dolcennbaci
53,0,yeah well it would still be better than let them sit there for 2030 year on my dime befor stick a needl in their vein i say give them all a noos if they choos to kill themselv so be it
54,0,umnxa0nholi fuck i need a cigarett
55,1,your a moron truth is beyond your reach
56,0,you seem wist
57,0,damn speedi recoveri paulrain prayer down on you
58,0,the laugh you two heard were trigger by memori of hi own highfli exit off move beast
59,1,your antisemit rant are not welcom here you are a racist moronnfu
60,0,nonstopdrivel wa fredex on thi team
61,1,god your tiresom get a life you loser
62,0,stop pretend ur not bradley side your the bsare u blind dont give us that stupidxa0longxa0explain of yoursxa0youxa0xa0sound like that 2 idiot judg exactli carbon copi arum we need our moneyyyi bacckkkkkkk
63,0,fuck weird game man
64,0,i told you i would give it if you did you start act likj a tough guy behind your mom comput then i ask you 20 time for an address and you still wont give it
65,0,i dont know if lewi is a littl boy or littl girl either way it becom the third on my list of petul idiot you will understand when you grow up ask an old bastard member of your famili to explain such action cannot be toler how come you blame the line judg weird
66,0,that a pathet flop fuck you jvg
67,0,whi should they bother improv io if they sell more phone than they care to produc these advic are better serv to the alsorun wp first and foremost
68,0,spursruss i live in argentina and it not all argentinian the problem be those who are loud on the issu are ill educ and you can be sure they wouldnt be rush to fight anyon they would be cower in the background my wife is argentinean and she is the first one to recogn the stupid of the claim some of muppet think they fought their independ against the uk moron the lot of them the answer is simpl if we were the lead coloni forc you would be an english speak countri you arent becaus werent it wa spain portug franc our interest were commerci also the worst part is they themselv extermin the nativ the spanish start it but actual it wa the newli form argi which did most of the kill of the nativ love eh clueless stuff you wonder whi the govern get away with corrupt so mani ignor peopl that whyyou shouldnt judg all by the standard these a huge amount of argi who see the cristina drum beat for what it is the same as all presid of argentina do use it to cover their fail
69,0,you better hope becaus the marlin have a histori of give up their superstar
70,0,well you guy have gone and done it now you put the word china and chines up the requir number of time for the date asian ad to come up evid ms zhang 50kg and 168cm for a bmi of 178 from hunan china want to meet me she ha her littl mouth open like she speak what that you ask zhang well ye as a matter of fact i am a physician whi are you clap your hand togeth and jump up and down stop that squeal young ladi and exprain yourself
71,0,you mean like your off topic obama rant bellow
72,0,i hope they do it inconjunct with juli 4
73,0,sure will be a crush blow when he doesnt get the next four year would you consid leav the countri
74,0,i havent watch fox news in year true
75,0,are you in franc
76,0,ill take that tempi realli hate the heat
77,0,alexi bledel can act wait can she i have thi blind spot when it come to imposs beauti women shit mayb she cant act fuck what the hell do i do nownnwhat the hell do i do now
78,0,i like your commentsnhowev i would go one step further it not time to let the peopl of il fight backnrath the citizen of il just need to fight back period ni will carri next time i travel into littl beirut ie chicago
79,1,fact georgia pass a strict immigr polici and most of the latino farm worker left the area vidalia georgia now ha over 3000 agricultur job open and they have been abl to fill about 250 of them in past year all you white real american who are look for work that the latino stole from youwher are you the job are i vadalia just wait for youor mayb it the fact that you would rather collect unemploy like the rest of the tea klaner you screamyou complainand you sit at home in your wife beater and drink beertyp real white tea klan
80,1,of cours you would bottom feeder
81,0,mxe1tenlosnhttp1bpblogspotcomyvszmvv2irwtmo8kfaugmiaaaaaaaaa0knllaahknniss1600killitwithfirekillitkillitwithfires670x394132457jpg
82,1,you arexa0 a fukin moron xa0xa0 you are just butthurt that you got reject on wikipedianncal yoursilf scolar or whateverxa0 i am better than youxa0 just 14 and alreadi a wikipedia administratorxa0 you are just a stupid ashol
83,0,he is do what ani presid doe on thi dayni do not recal if other presid appear at the wallnnelect year yea but then again you would never say anythingnif he did not appear you can not have it both way
84,0,yeah and your a fing expertgo back to pick through trash barrel you tool
85,0,those trail will definit get plow regardless of the investig theyll just see it as easier to plow the area than deal with it and onc they got plow i would never return or risk get stop and heavili question by the popo nnp all the stupid comment are unnecessari it realli easi to be cold and heartless and act like you dont give a fuck but id like to see these anonym comment talk shit like that in front of thi person famili or even their own mother grow up children and learn some respect
86,0,suh had a sack the last time they play
87,0,and you are support argument aholennnot everyon game on their pc either xa0spec whore miss the point entirelynni prefer the mac to my daili work xa0that be said im also a big believ in the best tool for the job and there are certain thing that pc do better databas and server for instancennth thing is that you havent prove anyth other than an anti appl bia and name call guilti myself to get your attent id just juvenil
88,1,you are a fuck dumb ass go back to you xbox dickhead grow up you littl fanboy
89,0,you know what would be fun if you guy talk crap back to us more entertain
90,0,beelin sidneycatsbi im assum you are in school in the state
91,0,they should put all the gay and lesbian on an islandxe2x80xa6xc2xa0 oh wait there is manhattan
92,0,yolo thi is hilari canyon student are so racist even though most of us are mexican fuck gabbi
93,1,let see your paper arealconservatinntil then shut the fuuk up stickychin
94,0,an interest angl of organ religion is that religi persecut is never ok unless your defend your own religionxc2xa0 you all arent victim of religi oppressionxc2xa0 you are the oppressorsxc2xa0 btw im not gayxc2xa0 i just love how you peopl tri to defend your persecut of other while claim your are be persecut
95,1,correct bitch you dont think it superb becaus your hate ass doesnt know talentand again i am still wait on you to submit a video of you singingwher is the youtub link i am sure you will get all kind of rave review lol
96,1,i think the onli trickl that effect you wa the trickl of sperm your dad gave your mom and most of that trickl down her leg go back to sleep we will wake you when you are need again
97,1,and you keep on your knee and keep tell yourself that is a sausag in your mouthxa0 and that is cream chees you are swallow
98,0,what wa that like 2000 word about noth your go after andrea mitchel what wa fox infomerci not broadcast yesterday how about the apolog issu for the epa drone and yet here you are attack andrea mitchel about some stupid ga station gimmicknnher anoth newsflash for you mr romney r1 is out of touch we all alreadi know it mr romney amaz wasnt just about some gadget at a petrol fill post but that peopl could actual buy food product there and that they actual eat itnnthi veri second mr romney isnt even carri a wallet and it is veri like that he doesnt even know where it is im still wait for someon to ask him the tough campaign trail question of how much doe a gallon of milk costnnandrea mitchel and ga station food unbeliev
99,0,rourk need to give me a fuck likexa0xa0jwoude23xa0how everyon doin
100,1,fuck you both
101,0,powersnnmsnbc is far far more bias and hostil in it comment than fox at least at fox there are usual oppos view msnbc is just a shill for the presid and they keep have to fire their host for all the outrag remark they makennnow cnn is get almost as bad as msnbc
102,0,what horribl trade are you talk about
103,1,and retard like you back to the institut
104,0,weapon lol he an idiot an wast of human space had it made and ruin it all
105,0,not a big fan of rondo but the dude can balli wouldnt classifi him as a big talker just tri to psych himself up
106,1,pig maher you forgot your med again you know you are one sick sob so dont forget
107,0,it not just the rich scream about taxesxa0 it the averag middl class american who pay hisher tax and doesnt see the benefit of those tax but instead see wastexa0 i pay feder tax but i dont use public school im not collect ani govt welfar or benefit i pay for my own healthcar etcxa0 i use the road and sewer so i dont mind pay the citi taxesxa0for thatxa0 my trash pick up is privat so i pay that directli to the trash companyxa0xa0everyon should pay for what theyxa0us notxa0bas on what they makexa0xa0ifxa0on want to be a part of societi one shouldxa0contribut and pay their fair sharexa0 that includ the rich or poor
108,1,mr king isnt it about time you either grow a pair of ball or join the democrat who will love a pussi cat like you
109,0,im amus by the fact that weblog con drop ani issu onc it turn into a losernnthi is an express of that amus
110,0,gabrielxc2xa0 xc2xa0get time to blow that horn
111,0,exactli like i dont realli give a shit how fat a person may or may not feel but it realli is shitti when your cloth dont fit and not in a im so gross way but in a i cant veri well leav the hous nake way
112,0,welfar queen into a whore not a crack whore xa0i think a whore is a more product worker than a welfar queen
113,0,polit correctnessnnpolit correct is a doctrin foster by a delusion illog minor and rapidli promot by an unscrupul lamestream media which hold forth the proposit that it is entir possibl to pick up a piec of cht xa0bi the clean end
114,1,what an ass you arefunni i see a lot more of you nut in car then i ever have of pilot in pane
115,1,you can take intern law andxa0 shove it you are such a schmuck i don t know whi i even comment on your idiot post the peac activist on the ship start hit the soldier with weapon in order to kill the
116,0,blown is a littl pissi after he appli for a union job and wa turn down he is just anoth good republican minion spread today messag
117,0,if you dont have a teleport and airmix up you are noth to me
118,0,stop tri to sound like a victim bitch dont understand men dont have the same temper and not the same thought go through ur mind than our u put a nigga on da spot get up in hi face and start throw yo stank breath on us believ me u got it come yal go no right period
119,0,robert moroni you fuckin dimwit do you know what a parodi is it a fuckin parodi of fox news and it sound accur to me
120,1,the most evil callou vile creatur in all of mytholog is your made up god stop kill and eat babi you dirti christard
121,0,oop xa0how embarrass for me you are right people1st i bow to the superior movi intellect of your son
122,0,if you throw trash out your window you get a yellow star bumper sticker
123,0,onc more we see where the soft immigr polici ha let the citizen down i bet they come from a famili who have less educ than a retard hampster yet were given a nice new life in britain reap what you sow
124,0,nope not work for me either322334wwwfacebookcomannagillmodelnn nnyou have my email
125,0,that jump shoot bit get old when you dont get call on contact and get your shot thrown off you look for separ and you jump shoot especi if you aint big which is most team becaus big and long are rareexpens at pro level
126,0,thi wa a tough loss for us right now there are guy blow each other in the locker roomnnscott brook
127,1,your a complet and utter moron
128,1,your still a loser man we must have realli gotten under your skin lol
129,0,the ignor here is astound clearli it say in the video that cleveland wa alreadi convict of rape and is serv jail time for it he guilti she wa rape for all of the moron whove said ugli statement about her or attack the verac of her stori the onli determin that thi court is tri to make is whether cash money should be held liabl i think it reason that when you invit someon to make a profession present at your compani that you provid necessari protect for that individu i dont care whether cleveland wa employ or just a hangeron a profession guest should not have been left unattend in the hand of someon danger that wa there admittedli with babi and slim knowledg and permiss if you went to a store and were attack by an employe or a friend of the boss who wa permit to hang around premis would you not hold the compani responsiblexc2xa0
130,0,fuck hard then fuck slow then fuck hard and then start again
131,0,axlrodesxa0wer you here for the wide receiv drama
132,0,are you fuck kid me no mirror fuck you freesteam
133,1,noth wa confirm in the 19th centuri you moron there wa no modern medic scienc to prove anyth dont tri to quot from the same period of time that brought us the spanish inquisit you are the lowest of the low i feel sorri for you
134,1,my best friend who is allerg to wheat corn soy red dye yellow dye pistachio tree nut kiwi cherri orang banana and seafood if she get anywher near the smell of seafood her lung constrict and she can no longer breath last week she got cut by a dog leash that had pistachio on it and almost went into anaphylact i know a littl about food allergiesxa0nni ask my friend if she thought it wa rude and selfish of someon to want food allergi so they could die she said you are a bitch so i do not realli think it is insult that she want food allergi so she can die i think were back to your a bitch
135,0,so not focus on boston vs miami for a minut who the scarier oppon sanan or okc
136,1,floyd ha a better knock out percentag than pacman you dumb fuuuuck
137,0,so wat have u bn do all along if u want to train them nwwe thot yo presenc must strengthen the strike forc bt prove otherwssham
138,0,the dean of mean is a typic tori who believ there one law for him and anoth one for everyon elsenbig steve better get around to fire everyon at elect canada and replac them with tori hack befor they realli get into what the tori did in the 2011 campaign
139,0,oh fab we have a tenni player who ha a sens of humour and who can smile mr murray pleas note mind you he ha left it too late to cheer up miseri gut
140,0,you are repeat yourself mate
141,1,you are one sick puppi
142,0,veri true inde ive tri to sit down and studi for hour straight without ani break and im not nearli as effect as when i take a few break
143,0,so da fuck wat if he prasi the devil look where he at keep doin ya thing my nigga
144,1,can i say dick on herenyour a dick
145,0,niemerg1 rightxa0 never said it wa fool proof tho
146,0,the wonder of plastic surgeri 3
147,0,ron paul cynthia mckinney 2012nthe all wacko ticketncal all paul sheep to the barn for your daili feed dont forget your wallet
148,0,go on move to hollywood join russel brand and take dan lobe with you
149,1,the way thi fuck hoodrat is stand in that pictur is boil my blood id like to meet thi cunt in an alley for a few minut selfish fuck twat
150,0,hahaha today a group of argentin veteran from the falkland war beat the crap out of a senat of the peronist parti the parti in power right now for use them for polit purpos the peopl in argentina are get tire of thi show the politician are do to distract the argentin popul from other far more import problem
151,0,we afford what we have to afford marco
152,0,hey moron buttons1994 kerri wont be abl to bulli obama like romney bulli a gay boy when he wa in prep school by physic assault himnnbut the clown romney wont be abl to bulli obama in a debat either so it a wash
153,0,and like it matter you are wait for next yeari am still live in the playoffssuck on it loser
154,0,should have hung for what he did thi countri is all for the monster that lurk among us
155,0,childerzxa0xa0koosh12684xa0xa0jwoude23xa0xa0welfarecheesexa0xa0sdlxa0xa0nonstopdrivelxa0nxa0nright on as long as we are both open and honest about how we come to our own conclus i couldnt give a shit if we disagre
156,0,they are peck him to death he give up ugli run
157,0,blain jungwirth definit thought that onli deserv a 2 but hey i take what i get
158,0,i cant trend im on my ipod touch
159,0,thi wa the joint back in the daynnand am i the onli one who thought gregori look like he could be philip michael thoma brother lol
160,1,how old are u 12 nnknick fan beeyatchnnnot a melo ball licker
161,0,anyth better than the grover norquist tea parti wall street corporatist gop
162,1,bitch nigga you need an eye exam and eye glass cassi one of the finest women on earth
163,0,are you attempt to be kinki herexa0 you have some kind of fetish
164,0,you get the gold starth best post ive seen on here in monthshilariousgreat jobcanadianp i think we need you to come down hereil sponsor you
165,0,how old are you
166,1,noth wors then a idi0t who smug becaus of who he is gay
167,1,your a child rapist in ny you have admit it mani time you sick fuck you have no room to talk
168,0,jo xa0 the man wa a geniu
169,1,anti american piec ofshit you are
170,1,have you be sip at th e sacrament wine againnny realli are a dens littl dude
171,0,ye but rememb the govern is listen to the view of the owner of wongannwonga will loan your businessxa0money at astonom rate
172,0,the tirad isnt what peopl caus peopl to dislik her read her comment like thi one i know of her stori and her husband we all have stori i mean i almost die and venu is struggl herself so you know it life nnshe come across as uncar and selfish on top of that she never give an oppon ani creditit alway about what she didnni absolut like venusconsist root for her and have for yearsbut serena is an absolut aw person that need to grow up
173,0,staci c is right dumbama and hi fatass wife and their croni have creat thi atmospher of govt interfer and what they feel govt entiti should be doingxc2xa0 school and other take their cue from the top down and when they see thi admin forc restaur to publish calori on menu then they feel they should be do their part for their messiah and becom food policexc2xa0 i cannot believ that a school put out an approv food listxc2xa0xc2xa0i would be suingxc2xa0
174,0,gallup dailynmay 2426 2012 u2013 updat daili at 1 pm et reflect oneday changenno updat monday may 28 next updat will be tuesday may 29nobama approval48nobama disapproval451npresidenti electionnobama47nromney45n7day roll averagenn it seem the bump romney got is over and the presid is on hi game
175,0,thi is someon whose selfimport got the best of him if anyon should be fire it would be tate thi kind of behavior is inexcus and unbecom of a man who hold the futur of mani employe in hi hand
176,0,dont stand on your porch
177,0,camp ha got to come in here and get thi guy thi is where you earn your money
178,0,you could not be more wrong the american tea parti stand for limit govern fiscal respons and a return to our constitut the tea parti when it ralli or protest doe it legal with brain we pay the permit arrang the event say our piec and then clean up and go home the occupuk on the other hand are not onli differ they are opposit they trespass they steal they show up without permiss they damag privat properti they collect urin and fece to throw on peopl they set fire they smash store window they rape young girl i can go on and on oh and the heat ac and warm bed were all paid for by those peopl dont kid yourself that we are not commit to our caus becaus we are not stupid like you or ow there is a right way and a wrong way to do thing you and the occupunk have choosen the later
179,0,becaus that is how they get their rock off our govern is run by pedophil who sexual tortur children
180,0,he actual said what a spoil bitch i amxa0 i never hate colton the way most of the poster did becaus i felt for himxa0 be gay in a republican famili can onli mean that you have been villifiedxa0 he wa dismay that it wa men vs women as that took away ani comfort zone he may have hadxa0 the men didnt welcom him and when he got power it went to hi spoil bitch head
181,0,with inbre be the longest run malcont
182,0,quot from teresa may that is whi we have been tri to deport him to jordan hi home countri tri sinc when doe a sovereign have problem tri to deport diseas mind scum like him stuff the eu law and if the uk is fine by the eussr for do thi then dont pay it and then stop all financi payment to thi corrupt experi it doesnt work it broke so listen to the peopl camoron and have an in or out referendum now
183,0,nilbymouth nnyou are right concern campbel my bad the qb carosel ha me mix up anyway i still dont like knapp and think we went that road with him onc befor and do not need to revisit it again cabl obvious did not think too high of him if he strip hi playcal duti and decid to call the play himself if knapp wa trueli great at what he doe he would have had some posit influenc on thi team with hi quarterback and in my opinion he didntcarson palmer need a guy like saunder whose offens connect to him is undeni
184,0,ill like your comment too if it make you feel better
185,0,whi didnt obama go to wisconsin and urg the republican to abandon their own america form of auster
186,0,if they delet hi post i wold sure be ban for my flame all over joe
187,0,what the hell are you talk about
188,0,peopl danc drink have fun at the club in miaminnlif is good in miami heat won let get drunknnheat fan
189,0,thi is so american load of utter posit peopl make posit live fake christian bullshitxa0nnput it thi way take 2 for exampleg up complain thi to me just read like becom a walk over if we all gave up complain noth great would get done or crap would be accept go into a hairdress get a shit haircut for 100 dont complain becaus you are a happi pissedoff with your shit haircut person who just been taken for a ridexa0g up the luxuri of critic for a start it not a luxuri you can be critic if you want i believ it is a trait that i enjoy whi mani peopl are idiot it the truth if you are in a job and you dont criticis peopl who do crap work then youll have an officeworkplac full of peopl who cant do their jobthes are basic person trait of intellig peopl but i guess retard are happier than all of us
190,0,your one of my favorit comment
191,0,dude it look noth like the fagbox it look more toward playstationmeetsalienwar consol it ha alreadi been proven that modern consol continu progress toward a pc so pleas take yourxa0idiot pain commentsxa0elsewher
192,1,howe doe it feel to be a freedom leech parasit
193,0,and all the arsean fan silent weep into their hankiesnnther noth to see here fella he a free man and still the spur managernn nnunlucki
194,0,ye you have to have comedi in your life
195,1,moron the latino are becom a larg vote block you cant just dismiss them like you did with black gay women and other minoritiesny need a major to win and all white dont buy your crap
196,0,when is bush go to be ask to campaign for romney when he doe ill buy you a dinner i wonder whi bush is not wantednnth better question is whi a sit presid like obama is not wantednnnotic he did 7 fundrais the weekend befor the vote all around wisc never stop in wiscnnnotic no one want hi help campaign
197,0,wait till a raptor grab it in mid airbad day man
198,0,have you ever given him prop or at least not diss him out on ani thread im not a fan of hi movi either but that dont mean i start talk shit on everi fuck post
199,0,bigooth that dynam ha been clear sinc the teabagg threw their first tantrum in januari of 2009 and rush declar that he want the presid to failnn nnthey want the economi to suck they need the economi to suck thi explain their otherwis puzzl legisl choic over the past three year
200,1,you are stuck on stupid obviouslyg me a break and dont votenmoron
201,0,thi man drunk as fuck he on drug he a male prostitut
202,1,who told you thatstupid ask yourself who kick hi daughter out of the hous at the age 16when it come protect weaman you guy the last ppl on earth who can open their mounth
203,0,letsgowestxa0tri big 100nthey are dope
204,1,ight ima get in on you mr armi man or we the fuck you are i have famili fight on battl field right now atleast 20 member are all juggalo just like me you littl ick suck divk whip bitch if you have the time to sit here and talk shit about famili then you obvious arent do your job fight for our countri your busi tri to start anoth world war with the juggalo famili so shut the fuck up and grow a pair you pussi
205,0,you are so correctth red sox are the worst team
206,0,headlin go to be in a few month mark wright reject back home
207,0,i didnt watch game so thi morn watch sky see what fuss wa about i have to say at time footbal fan have to put there loyalti to respect club asid what ballotelli did wa a disgrac he wont admit it but that wa deliber and ha no place in footbal i will be amaz if he isnt ban
208,1,are you retard you think iraq afghan were aveng death lol get yourself check buddi even bush would laugh at younnther is a reason whi we are proud of india cuz we are not like us or israel who will or can go to war at the drop of a hat on the long run even that is prove costli to themxa0nnso wake up we are talk about music here not war you dumb moron
209,0,no matter how great your bodi look theresxa0someth pathet desper and trashyxa0about a woman that old act like that
210,1,piiisii appar know noth about cold factsnnrepublican troll make us all sick with their non factual crapnnyou can cri until 2016 your lie mean noth to intellig peopl
211,0,the bad part of the stori is the dumb redneck republican like yourselfnnnot sure if these folk are sociopath like you though so your probabl a downgrad from them
212,1,you as stupid as you were yesterday
213,0,i may never see the light of day againh should never see the light of day again twist beyond belief you couldnt do what he did to a dog let alon anoth human be
214,1,there are a lot of moron post on thi site but you are in a class all by yourself
215,1,you are a moron
216,0,how the fuck do you have orang beef but not orang chicken
217,1,suck my dick yeaah babbi pussi
218,1,autumn you are and idiot nnred flag 102 girl with no sens of humor
219,0,eli man brett favr john elway
220,0,if she wont sleep with you you could probabl just forc yourself on her and ani reason judg would take that tattoo as a permiss to date rape stamp
221,0,holder and obama will be hit back from all direct and 1000 time as hard dozen insid the doj and the wh who have digniti and patriot will turn on them both like rabid dog thi administr is goind down and right into feder prison noth can stop it now noth at all the peopl are piss off and out for headsnnhold peic of shitnnobama fuck up sociopath
222,0,so is a skunk half black and half white and they both stink whi do b l a c k peopl stink so blind peopl can h a t enthem too lol
223,0,i wonder if thatd stand up in court he might have kill someon but fuck me he can play cricket he wa a prick
224,0,theyr not the pg propos is a list of peopl who have commit crime with a gun not a way to regist gun is no one elsexa0disturbedxa0bi the idea of the govern maintain list of peopl they dont like cue you know who els had list of peopl they dont like joke in 32
225,0,david cyberducki you know if you stick a screw driver in your mouth and bang on your fill you might be abl to pick up an easi listen channel
226,1,that becaus your a nobodi
227,0,the korem foundat will never see anoth dollar from me
228,0,i just did it but for some reason it not regist mayb need some time
229,0,i could be as effect ineffect as huff
230,1,yo thi my nigga right here my n my boi lil b fuck bitch on the regular we fuck everyon bitch tell yo boy that yo bitch aint safe when mel gibson n lil b rollin out on a bitch hunt
231,0,oh hey i have yousaidit if you like
232,0,xc2xa0it mean the world isnt chang it mean the world ha alreadi nchang steven goldstein chairman of the gay right group garden nstate equalityxc2xa0 but right is right and wrong is still wrong
233,0,omg are you a vs girl alsonndid you hit up the semi annual sale i went fuck crazi
234,1,you are incred stupid
235,0,slipresistantshoesxa0in a few year theyll make a damn movi about itnxa0nuncl daddi ride again
236,0,i like you aggi
237,0,obamawon due to the media not do their job we still know noth about obama and it almost 4 year later whi
238,0,god bless you and may you live a long and fruit life and spread your wisdom
239,0,ha im glad you are pena girl you know he realli want to play for the red sox he from boston and went to northeastern but got cut by the sox and he terribl haha you have zero valid point
240,0,i am a moder i am fiscal conserv but am moder on the social issu the republican parti is no longer the parti of goldwat teddi rooseveltxc2xa0 nor even reagan the gop is the parti of jerri falwel toni perkin and peopl like michel bachmann nbecaus i am gay and can not find a place in the gop i vote for obama in 08 nhowev thi year ixc2xa0am consid vote for romney thi year nrepublican better hope romney get the nomin becaus santorum would be hand the elect to obama santorum isxc2xa0scari conserv he want the govern to be all up in peopl busi and i wouldnt be surpris if a presidentxc2xa0santorum creat a moral policeni believ the major of american are moder and what thi countri need is a moder i am so tire of us swing from extrem left to extrem right and back again
241,1,whi did you do that becaus you smell like dog poo your so stupid just like dog poo your made outta poo
242,0,the democrat would sell out our young job seeker for a hand of illeg vote and a 50 cent tomato
243,0,pass on grass and pass on rainbow and wing
244,0,you wouldnt know a fail polici if it sent you and all your neighbor to the poorhous
