,Unnamed: 0,Insult,Comment,Sentiment
13,13,0,hmmm perhaps some who are too pigfaced to get laid and therefore have zero chance of getting pregnant from such activity hold something against woman who can idk stream of consciousnees thought after looking at her,0.16666666666666666
14,14,0,barrettmarson huh her income wa 21912 her spending wa 5470 my math put that at 249,0.0
15,15,1,for some reason u sound retarded lol damn where u been negro,0.13333333333333333
16,16,1,you with the racist screen namennyou are a pieceofshit,0.0
17,17,0,oh cheating a well1966 cup wa a cheat fest you still dare to post that commentshame on you lol,0.8
18,18,1,your such a dickhead,0.0
19,19,1,your a retard go post your head up your,-0.9
20,20,0,eephusbluexa0makes you want to say mike macwhogal,0.0
21,21,0,httpwwwyoutubecomwatchvtlyllphkru4,0.0
22,22,0,and you know theyve burned hole in all the carpeting,0.0
23,23,0,you are a land creature you would drown,0.0
24,24,0,to all those doomandgloomers the chickenlittles who claim the sky is falling and that society is collapsingcanada ha had gay marriage nationwide for year where is the disaster where is the collapse and the persecution youre shouting about where is it please show u some example because it starting to look like your threat and fear and warning are nothing but hot air,0.22222222222222224
25,25,0,craig we have been saying from the start that this is a very entertaining showxa0 it awakens the horny little goth in mexa0 i met my boyfriend during the first season and one of the first thing we did wa watch ahs at my housexa0 i know he like me and all but to this day he is sure i am far creepier and kinkier than he could ever bexa0 thanks american horror storyxa0 sweet clam love you,0.26125
26,26,0,strange you are talking about that when there were chelsea fan in here belittling the community shield,-0.05
27,27,0,but how would you actually get the key out,0.0
28,28,0,oh cool some more internet point for your collection,0.425
29,29,0,even though i think there are better coach out there i am glad del negro is keeping his job i never thought he got enough credit those year when he took those average chicago bull team he coached to the playoff 2 year in a row,0.2125
30,30,0,russellpianoxa0nhmmmmhow can we spin obama honoring vietnam troop a something negativeanswer doesnt matter look at our follower theyll take anythingnnnobama team xa0hmmm how can we make the liberal messiah look better in light of the revelation of his leaking classified information to the new york timesi know let have a bogus photo shoot at the viet nam memorial that will make obama look like he care about vet but first well have to clear all the vet out of the immediate area because they cant be trusted,0.2772727272727273
31,31,0,a good article which for all the good it will do could have been delivered to a brick wall,0.7
32,32,0,head up warninganother source of funding for medium matter is peter lewis of the progessive insurance company you know those auto insurance commercial that run every 5 minute on cable television featuring the gal who look like a blowup doll with red lip andxc2xa0a perfectly round mouthif you know what i meannif you have progressivexc2xa0auto insurance just know that part of your premium is going to fund a progressive liberalxc2xa0organization hell bentxc2xa0on destroyingxc2xa0our country and our free speech their mission is toxc2xa0bring downxc2xa0hannitybeckdobbslavinlimbaughboortzetc we must not let them win,0.2
33,33,0,sdnoriko lol a if capcom listens watch them fuck this up too i hope i am wrong i love okami,0.1
34,34,1,allinit123 yourxa0hypocrisyxa0is sickening you ignorant loser,-0.9
35,35,0,fast furious didnt work out like they planned did itlololololololol,0.2
36,36,0,mitt isnt the best candidate for presidentbut going against the worstxa0candidatexa0ever should help him tremendously xa0lolxa0nnobama is one and doneit could happen no other way,0.46527777777777773
37,37,1,i cant believe the stupid people on this site that have no idea what is going onxa0 you foolsxa0 you are all useful idiotsxa0 they are hiding the truth because you fool who protect him would look like the useful idiot you are,-0.25
38,38,1,fucking behave then you prick,-0.6
39,39,0,the only other relevant fact is that he is destroying america,0.018750000000000003
40,40,0,you are a liar,0.0
41,41,1,is that it your sum total to any conversation is first abuse and then calling them a troll you are a typical socialist idiot keep up your non existent class warfare it is a pointless a you,-0.19333333333333333
42,42,0,beanstalk briview welp then nbw right,0.2857142857142857
43,43,0,good job fella i didnt quite read the rule about a signature piece but i guess that wa a good a any i found some great blog to follow and to share over at g if im not commenting on your blog it because i always throw my two cent in when i post my share add me on there if you are a googler nhttpsplusgooglecom109258118458627782001posts again congratulation to the winner and i hope we get the chance to submit something else this wa fucking fun,0.625
44,44,0,i say hang is as in the center of the town to let it be known that this type of behavior get this type of punishment the lady had a kid 1 week ago woman arent safe to have sex after child birth for at least 6 week so even if this wasxc2xa0consensual it would have been wayyyyy too soon and hurt the lady i am so glad the the baby is so young and will not remember this event happening in it house and i hope the mother recovers quickly,0.17222222222222225
45,45,1,faggot,0.0
46,46,0,you right if you are relaxe then you can give better result or perform and your identity should be from your work,0.39285714285714285
47,47,1,aimless abe you are a delusion weirdo that should be locked up inside and kept away from computersxa0 anyone who doubt the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seam and go off the deep end,0.05
48,48,0,that i do not doubtnnas a blackberry clonennbut your original argument wa not that android would have existed just that android somehow predates io development,0.375
49,49,0,okc should work out a deal to get a pg who play more like parker or cp3 i think nash at the point and move westbrook to sg that team would be unstoppable imagine the shot nash would create for durant then westbrook would be at his natural position too the guy doesnt create shot or distribute,0.3
50,50,0,mahers show go on and onnpalinsxa0 alakda show get cancelednnisnt the free market wonderful,0.7
51,51,1,even a a troll you are a pathetic failure,-0.6583333333333333
52,52,0,grazie mille sabrina sei cosxec dolcennbaci,0.0
53,53,0,yeah well it would still be better than letting them sit there for 2030 year on my dime before sticking a needle in their vein i say give them all a noose if they choose to kill themselves so be it,0.5
54,54,0,umnxa0nholy fuck i need a cigarette,-0.4
55,55,1,youre a moron truth is beyond your reach,-0.8
56,56,0,you seem wistful,0.0
57,57,0,damn speedy recovery paulraining prayer down on you,-0.15555555555555559
58,58,0,the laugh you two heard were triggered by memory of his own highflying exit off moving beast,0.44999999999999996
59,59,1,your antisemitic rant are not welcomed here you are a racist moronnfu,0.0
60,60,0,nonstopdrivel wa fredex on this team,0.0
61,61,1,god youre tiresome get a life you loser,-0.5
62,62,0,stop pretending ur not bradley side youre the bsare u blind dont give u that stupidxa0longxa0explainations of yoursxa0youxa0xa0sounds like that 2 idiot judge exactly carbon copy arum we need our moneyyyy bacckkkkkkk,-0.35000000000000003
63,63,0,fucking weird game man,-0.45
64,64,0,i told you i would give it if you did you started acting likje a tough guy behind your mom computer then i asked you 20 time for an address and you still wont give it,-0.262962962962963
65,65,0,i dont know if lewis is a little boy or little girl either way it becomes the third on my list of petulant idiot you will understand when you grow up ask an old bastard member of your family to explain such action cannot be tolerated how come you blame the line judge weird,-0.184375
66,66,0,thats a pathetic flop fuck you jvg,-0.7
67,67,0,why should they bother improving io if they sell more phone than they care to produce these advice are better served to the alsoruns wp first and foremost,0.4166666666666667
68,68,0,spursruss i live in argentina and it not all argentinian the problem being those who are loud on the issue are ill educated and you can be sure they wouldnt be rushing to fight anyone they would be cowering in the background my wife is argentinean and she is the first one to recognize the stupidity of the claim some of muppet think they fought their independence against the uk moron the lot of them the answer is simple if we were the leading colonial force you would be an english speaking country you arent because werent it wa spain portugal france our interest were commercial also the worst part is they themselves exterminated the native the spanish started it but actually it wa the newly formed argies which did most of the killing of the native lovely eh clueless stuff you wonder why the government get away with corruption so many ignorant people thats whyyou shouldnt judge all by the standard these a huge amount of argies who see the cristina drum beating for what it is the same a all president of argentina do using it to cover their failing,0.006136363636363637
69,69,0,you better hope because the marlin have a history of giving up their superstar,0.5
70,70,0,well you guy have gone and done it now you put the word china and chinese up the required number of time for the dating asian ad to come up evidently m zhang 50kg and 168cm for a bmi of 178 from hunan china want to meet me she ha her little mouth open like shes speaking whats that you ask zhang well yes a a matter of fact i am a physician why are you clapping your hand together and jumping up and down stop that squealing young lady and exprain yourself,0.0009920634920634885
71,71,0,you mean like your off topic obama rant bellow,-0.3125
72,72,0,i hope they do it inconjunction with july 4,0.0
73,73,0,surely will be a crushing blow when he doesnt get the next four year would you consider leaving the country,0.3
74,74,0,i havent watched fox news in year true,0.35
75,75,0,are you in france,0.0
76,76,0,ill take that tempo really hate the heat,-0.65
77,77,0,alexis bledel can act wait can she i have this blind spot when it come to impossibly beautiful woman shit maybe she cant act fuck what the hell do i do nownnwhat the hell do i do now,-0.06250000000000001
78,78,0,i like your commentsnhowever i would go one step further it not time to let the people of il fight backnrather the citizen of il just need to fight back period ni will carry next time i travel into little beirut ie chicago,-0.046875
79,79,1,fact georgia passed a strict immigration policy and most of the latino farm worker left the area vidalia georgia now ha over 3000 agriculture job opening and they have been able to fill about 250 of them in past year all you white real american who are looking for work that the latino stole from youwhere are you the job are i vadalia just waiting for youor maybe it the fact that you would rather collect unemployment like the rest of the tea klaners you screamyou complainand you sit at home in your wife beater and drink beertypical real white tea klan,0.10714285714285714
80,80,1,of course you would bottom feeder,0.0
81,81,0,mxe1tenlosnhttp1bpblogspotcomyvszmvv2irwtmo8kfaugmiaaaaaaaaa0knllaahknniss1600killitwithfirekillitkillitwithfires670x394132457jpg,0.0
82,82,1,you arexa0 a fukin moron xa0xa0 you are just butthurt that you got rejected on wikipedianncall yoursilf scolar or whateverxa0 i am better than youxa0 just 14 and already a wikipedia administratorxa0 you are just a stupid ashole,-0.3666666666666667
83,83,0,he is doing what any president doe on this dayni do not recall if other president appeared at the wallnnelection year yea but then again you would never say anythingnif he did not appear you can not have it both way,-0.125
84,84,0,yeah and youre a fing expertgo back to picking through trash barrel you tool,0.0
85,85,0,those trail will definitely get plowed regardless of the investigation theyll just see it a easier to plow the area than deal with it and once they got plowed i would never return or risk getting stopped and heavily questioned by the popos nnps all the stupid comment are unnecessary it really easy to be cold and heartless and act like you dont give a fuck but id like to see these anonymous commentator talk shit like that in front of this person family or even their own mother grow up child and learn some respect,-0.17407407407407405
86,86,0,suh had a sack the last time they played,0.0
87,87,0,and you are support argument aholennnot everyone game on their pc either xa0spec whore miss the point entirelynni prefer the mac to my daily work xa0that being said im also a big believer in the best tool for the job and there are certain thing that pc do better database and server for instancennthe thing is that you havent proved anything other than an anti apple bias and name calling guilty myself to get your attention id just juvenile,0.04880952380952381
88,88,1,you are a fucking dumb as go back to you xbox dickhead grow up you little fanboy,-0.1875
89,89,0,you know what would be fun if you guy talked crap back to u more entertaining,0.1
90,90,0,beeline sidneycatsby im assuming you are in school in the state,0.0
91,91,0,they should put all the gay and lesbian on an islandxe2x80xa6xc2xa0 oh wait there is manhattan,0.4166666666666667
92,92,0,yolo this is hilarious canyon student are so racist even though most of u are mexican fuck gabby,0.15
93,93,1,let see your paper arealconservatinntill then shut the fuuk up stickychin,0.0
94,94,0,an interesting angle of organized religion is that religious persecution is never ok unless your defending your own religionxc2xa0 you all arent victim of religious oppressionxc2xa0 you are the oppressorsxc2xa0 btw im not gayxc2xa0 i just love how you people try to defend your persecution of others while claiming your are being persecuted,0.18214285714285713
95,95,1,correction bitch you dont think it superb because your hating as doesnt know talentand again i am still waiting on you to submit a video of you singingwhere is the youtube link i am sure you will get all kind of rave review lol,0.7250000000000001
96,96,1,i think the only trickle that effected you wa the trickle of sperm your dad gave your mom and most of that trickled down her leg go back to sleep we will wake you when you are needed again,0.08611111111111111
97,97,1,and you keep on your knee and keep telling yourself that is a sausage in your mouthxa0 and that is cream cheese you are swallowing,0.0
98,98,0,what wa that like 2000 word about nothing youre going after andrea mitchell what wa fox infomercial not broadcasting yesterday how about the apology issued for the epa drone and yet here you are attacking andrea mitchell about some stupid gas station gimmicknnheres another newsflash for you mr romney r1 is out of touch we all already know it mr romneys amazement wasnt just about some gadget at a petrol filling post but that people could actually buy food product there and that they actually eat itnnthis very second mr romney isnt even carrying a wallet and it is very likely that he doesnt even know where it is im still waiting for someone to ask him the tough campaign trail question of how much doe a gallon of milk costnnandrea mitchell and gas station food unbelievable,-0.15486111111111112
99,99,0,rourke need to give me a fucking likexa0xa0jwoude23xa0hows everyone doin,-0.6
100,100,1,fuck you both,-0.4
101,101,0,powersnnmsnbc is far far more biased and hostile in it comment than fox at least at fox there are usually opposing view msnbc is just a shill for the president and they keep having to fire their host for all the outrageous remark they makennnow cnn is getting almost a bad a msnbc,-0.2214285714285714
102,102,0,what horrible trade are you talking about,-1.0
103,103,1,and retard like you back to the institution,-0.45
104,104,0,weapon lol he an idiot an waste of human space had it made and ruined it all,-0.05
105,105,0,not a big fan of rondo but the dude can balli wouldnt classify him a a big talker just trying to psyche himself up,0.0
106,106,1,pig maher you forgot your med again you know you are one sick sob so dont forget,-0.7142857142857143
107,107,0,it not just the rich screaming about taxesxa0 it the average middle class american who pay hisher tax and doesnt see the benefit of those tax but instead see wastexa0 i pay federal tax but i dont use public school im not collecting any govt welfare or benefit i pay for my own healthcare etcxa0 i use the road and sewer so i dont mind paying the city taxesxa0for thatxa0 my trash pick up is private so i pay that directly to the trash companyxa0xa0everyone should pay for what theyxa0use notxa0based on what they makexa0xa0ifxa0one want to be a part of society one shouldxa0contribute and pay their fair sharexa0 that includes the rich or poor,0.14545454545454548
108,108,1,mr king isnt it about time you either grow a pair of ball or join the democrat who will love a pussy cat like you,0.5
109,109,0,im amused by the fact that weblog con drop any issue once it turn into a losernnthis is an expression of that amusement,0.0
110,110,0,gabrielxc2xa0 xc2xa0getting time to blow that horn,0.0
111,111,0,exactly like i dont really give a shit how fat a person may or may not feel but it really is shitty when your clothes dont fit and not in a im so gross way but in a i cant very well leave the house naked way,0.13125
112,112,0,welfare queen into a whore not a crack whore xa0i think a whore is a more productive worker than a welfare queen,0.5
113,113,0,political correctnessnnpolitical correctness is a doctrine fostered by a delusional illogical minority and rapidly promoted by an unscrupulous lamestream medium which hold forth the proposition that it is entirely possible to pick up a piece of cht xa0by the clean end,0.12222222222222223
114,114,1,what an as you arefunny i see a lot more of you nut in car then i ever have of pilot in pane,0.5
115,115,1,you can take international law andxa0 shove it you are such a schmuck i don t know why i even comment on your idiotic post the peace activist on the ship started hitting the soldier with weapon in order to kill the,-0.2222222222222222
116,116,0,blown is a little pissy after he applied for a union job and wa turned down he is just another good republican minion spreading today message,0.11898148148148147
117,117,0,if you dont have a teleport and airmix ups you are nothing to me,0.0
118,118,0,stop trying to sound like a victim bitch dont understand men dont have the same temper and not the same thought go through ur mind than ours u put a nigga on da spot get up in his face and start throwing yo stank breath on u believe me u got it coming yal go no right period,0.036428571428571435
119,119,0,robert moroni you fuckin dimwit do you know what a parody is it a fuckin parody of fox news and it sound accurate to me,0.4
120,120,1,the most evil callous vile creature in all of mythology is your made up god stop killing and eating baby you dirty christard,-0.3666666666666667
121,121,0,oops xa0how embarrassing for me you are right people1st i bow to the superior movie intellect of your son,0.4928571428571428
122,122,0,if you throw trash out your window you get a yellow star bumper sticker,0.0
123,123,0,once more we see where the soft immigration policy ha let the citizen down i bet they come from a family who have le education than a retarded hampster yet were given a nice new life in britain reap what you sow,0.06346801346801345
124,124,0,nope not working for me either322334wwwfacebookcomannagillmodelnn nnyou have my email,0.0
125,125,0,that jump shooting bit get old when you dont get call on contact and get your shot thrown off you look for separation and you jump shoot especially if you aint big which is most team because bigs and longs are rareexpensive at pro level,0.15
126,126,0,this wa a tough loss for u right now there are guy blowing each other in the locker roomnnscott brook,-0.07605820105820106
127,127,1,youre a complete and utter moron,-0.23333333333333336
128,128,1,your still a loser man we must have really gotten under your skin lol,0.5
129,129,0,the ignorance here is astounding clearly it say in the video that cleveland wa already convicted of rape and is serving jail time for it he guilty she wa raped for all of the moron whove said ugly statement about her or attacked the veracity of her story the only determination that this court is trying to make is whether cash money should be held liable i think it reasonable that when you invite someone to make a professional presentation at your company that you provide necessary protection for that individual i dont care whether cleveland wa employed or just a hangeron a professional guest should not have been left unattended in the hand of someone dangerous that wa there admittedly with baby and slims knowledge and permission if you went to a store and were attacked by an employee or a friend of the bos who wa permitted to hang around premise would you not hold the company responsiblexc2xa0,-0.11333333333333331
130,130,0,fuck hard then fuck slow then fuck hard and then start again,-0.34722222222222227
131,131,0,axlrodesxa0were you here for the wide receiver drama,-0.1
132,132,0,are you fucking kidding me no mirror fuck you freesteam,-0.5
133,133,1,nothing wa confirmed in the 19th century you moron there wa no modern medical science to prove anything dont try to quote from the same period of time that brought u the spanish inquisition you are the lowest of the low i feel sorry for you,-0.125
134,134,1,my best friend who is allergic to wheat corn soy red dye yellow dye pistachio tree nut kiwi cherry orange banana and seafood if she get anywhere near the smell of seafood her lung constrict and she can no longer breath last week she got cut by a dog leash that had pistachio on it and almost went into anaphylactic i know a little about food allergiesxa0nni asked my friend if she thought it wa rude and selfish of someone to want food allergy so they could die she said you are a bitch so i do not really think it is insulting that she want food allergy so she can die i think were back to youre a bitch,-0.08977272727272727
135,135,0,so not focusing on boston v miami for a minute who the scarier opponent sanan or okc,0.0
136,136,1,floyd ha a better knock out percentage than pacman you dumb fuuuuck,0.0625
137,137,0,so wat have u bn doing all along if u want to train them nwwe thot yo presence must strengthen the strike force bt proving otherwsshame,0.0
138,138,0,the dean of mean is a typical tory who belief there one law for him and another one for everyone elsenbig steve better get around to firing everyone at election canada and replacing them with tory hack before they really get into what the tory did in the 2011 campaign,0.055208333333333345
139,139,0,oh fab we have a tennis player who ha a sense of humour and who can smile mr murray please note mind you he ha left it too late to cheer up misery gut,0.0
140,140,0,you are repeating yourself mate,0.0
141,141,1,you are one sick puppy,-0.7142857142857143
142,142,0,very true indeed ive tried to sit down and study for hour straight without any break and im not nearly a effective a when i take a few break,-0.00011111111111111738
143,143,0,so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga,-0.4
144,144,1,can i say dick on herenyour a dick,0.0
145,145,0,niemerg1 rightxa0 never said it wa fool proof tho,0.0
146,146,0,the wonder of plastic surgery 3,0.0
147,147,0,ron paul cynthia mckinney 2012nthe all wacko ticketncalling all paul sheep to the barn for your daily feeding dont forget your wallet,0.0
148,148,0,go on move to hollywood join russell brand and take dan lobe with you,0.0
149,149,1,the way this fucking hoodrat is standing in that picture is boiling my blood id like to meet this cunt in an alley for a few minute selfish fucking twat,-0.475
150,150,0,hahaha today a group of argentine veteran from the falklands war beat the crap out of a senator of the peronist party the party in power right now for using them for political purpose the people in argentina are getting tired of this show the politician are doing to distract the argentine population from other far more important problem,0.01607142857142856
151,151,0,we afford what we have to afford marco,0.0
152,152,0,hey moron buttons1994 kerry wont be able to bully obama like romney bullied a gay boy when he wa in prep school by physically assaulting himnnbut the clown romney wont be able to bully obama in a debate either so it a wash,0.12333333333333334
153,153,0,and like it matter you are waiting for next yeari am still living in the playoffssuck on it loser,0.0
154,154,0,should have hung for what he did this country is all for the monster that lurk among u,0.0
155,155,0,childerzxa0xa0koosh12684xa0xa0jwoude23xa0xa0welfarecheesexa0xa0sdlxa0xa0nonstopdrivelxa0nxa0nright on a long a we are both open and honest about how we come to our own conclusion i couldnt give a shit if we disagree,0.19
156,156,0,they are pecking him to death he give up ugly run,-0.7
157,157,0,blaine jungwirth definitely thought that only deserved a 2 but hey i take what i get,0.0
158,158,0,i cant trend im on my ipod touch,0.0
159,159,0,this wa the joint back in the daynnand am i the only one who thought gregory looked like he could be philip michael thomas brother lol,0.26666666666666666
160,160,1,how old are u 12 nnknicks fan beeyatchnnnot a melo ball licker,0.1
161,161,0,anything better than the grover norquist tea party wall street corporatist gop,0.5
162,162,1,bitch nigga you need an eye exam and eye glass cassie one of the finest woman on earth,0.0
163,163,0,are you attempting to be kinky herexa0 you have some kind of fetish,0.6
164,164,0,you get the gold starthe best post ive seen on here in monthshilariousgreat jobcanadianps i think we need you to come down hereill sponsor you,0.4222222222222222
165,165,0,how old are you,0.1
166,166,1,nothing worse then a idi0t who smugs because of who he is gay,0.008333333333333331
167,167,1,youre a child rapist in ny you have admitted it many time you sick fuck you have no room to talk,-0.20476190476190478
168,168,0,jo xa0 the man wa a genius,0.0
169,169,1,anti american piece ofshit you are,0.0
170,170,1,have you be sipping at th e sacramental wine againnnyou really are a dense little dude,0.0062500000000000056
171,171,0,yes but remember the government is listening to the view of the owner of wongannwonga will loan your businessxa0money at astonomical rate,0.0
172,172,0,the tirade isnt what people caused people to dislike her read her comment like this one i know of her story and her husband we all have story i mean i almost died and venus is struggling herself so you know it life nnshe come across a uncaring and selfish on top of that she never give an opponent any creditits always about what she didnni absolutely like venusconsistently root for her and have for yearsbut serena is an absolutely awful person that need to grow up,-0.2225
173,173,0,stacy c is right dumbama and his fatass wife and their crony have created this atmosphere of govt interference and what they feel govt entity should be doingxc2xa0 school and others take their cue from the top down and when they see this admin forcing restaurant to publish calorie on menu then they feel they should be doing their part for their messiah and become food policexc2xa0 i cannot believe that a school put out an approved food listxc2xa0xc2xa0i would be suingxc2xa0,0.21005291005291005
174,174,0,gallup dailynmay 2426 2012 u2013 update daily at 1 pm et reflects oneday changenno update monday may 28 next update will be tuesday may 29nobama approval48nobama disapproval451npresidential electionnobama47nromney45n7day rolling averagenn it seems the bump romney got is over and the president is on his game,-0.13333333333333333
175,175,0,this is someone whose selfimportance got the best of him if anyone should be fired it would be tate this kind of behavior is inexcusable and unbecoming of a man who hold the future of many employee in his hand,0.525
176,176,0,dont stand on your porch,0.0
177,177,0,camp ha got to come in here and get this guy this is where you earn your money,0.0
178,178,0,you could not be more wrong the american tea party stand for limited government fiscal responsibility and a return to our constitution the tea party when it rally or protest doe it legally with brain we pay the permit arrange the event say our piece and then clean up and go home the occupukes on the other hand are not only different they are opposite they trespass they steal they show up without permission they damage private property they collect urine and feces to throw on people they set fire they smash store window they rape young girl i can go on and on oh and the heat ac and warm bed were all paid for by those people dont kid yourself that we are not committed to our cause because we are not stupid like you or ows there is a right way and a wrong way to do thing you and the occupunks have choosen the later,0.07387955182072829
179,179,0,because that is how they get their rock off our government is run by pedophile who sexually torture child,0.5
180,180,0,he actually said what a spoiled bitch i amxa0 i never hated colton the way most of the poster did because i felt for himxa0 being gay in a republican family can only mean that you have been villifiedxa0 he wa dismayed that it wa men v woman a that took away any comfort zone he may have hadxa0 the men didnt welcome him and when he got power it went to his spoiled bitch head,0.2648809523809524
181,181,0,with inbreeds being the longest running malcontent,0.0
182,182,0,quote from teresa may that is why we have been trying to deport him to jordan his home country trying since when doe a sovereign have problem trying to deport diseased minded scum like him stuff the eu law and if the uk is fined by the eussr for doing this then dont pay it and then stop all financial payment to this corrupt experiment it doesnt work it broke so listen to the people camoron and have an in or out referendum now,-0.35
183,183,0,nilbymouth nnyou are right concerning campbell my bad the qb carosel ha me mixed up anyways i still dont like knapp and think we went that road with him once before and do not need to revisit it again cable obviously did not think too high of him if he stripped his playcalling duty and decided to call the play himself if knapp wa truely great at what he doe he would have had some positive influence on this team with his quarterback and in my opinion he didntcarson palmer need a guy like saunders whose offensive connection to him is undeniable,0.11042671614100188
184,184,0,ill like your comment too if it make you feel better,0.0
185,185,0,why didnt obama go to wisconsin and urge the republican to abandon their own america form of austerity,0.6
186,186,0,if they deleted his post i wold surely be banned for my flaming all over joe,0.5
187,187,0,what the hell are you talking about,0.0
188,188,0,people dancing drinking having fun at the club in miaminnlife is good in miami heat won let get drunknnheat fan,0.5
189,189,0,this is so american load of utter positive people make positive life fake christian bullshitxa0nnput it this way take 2 for examplegive up complaining this to me just read like become a walk over if we all gave up complaining nothing great would get done or crap would be accepted go into a hairdresser get a shit haircut for 100 dont complain because you are a happy pissedoff with your shit haircut person who just been taken for a ridexa0give up the luxury of criticism for a start it not a luxury you can be critical if you want i believe it is a trait that i enjoy why many people are idiot it the truth if you are in a job and you dont criticise people who do crap work then youll have an officeworkplace full of people who cant do their jobthese are basic personality trait of intelligent people but i guess retard are happier than all of u,-0.004772727272727273
190,190,0,youre one of my favorite commenters,0.5
191,191,0,dude it look nothing like the fagbox it look more towards playstationmeetsalienware console it ha already been proven that modern console continually progress towards a pc so please take yourxa0idiotically painful commentsxa0elsewhere,0.0
192,192,1,howe doe it feel to be a freedom leech parasite,0.0
193,193,0,and all the arseanal fan silently weep into their hankiesnntheres nothing to see here fella he a free man and still the spur managernn nnunlucky,0.2
194,194,0,yes you have to have comedy in your life,0.0
195,195,1,moron the latino are becoming a large voting block you cant just dismissed them like you did with black gay woman and other minoritiesnyou need a majority to win and all white dont buy your crap,-0.0011904761904761862
196,196,0,when is bush going to be asked to campaign for romney when he doe ill buy you a dinner i wonder why bush is not wantednnthe better question is why a sitting president like obama is not wantednnnotice he did 7 fundraiser the weekend before the vote all around wisc never stopped in wiscnnnotice no one want his help campaigning,0.0
197,197,0,wait till a raptor grab it in mid airbad day man,0.0
198,198,0,have you ever given him prop or at least not dissed him out on any thread im not a fan of his movie either but that dont mean i start talking shit on every fucking post,-0.353125
199,199,0,bigoother that dynamic ha been clear since the teabaggers threw their first tantrum in january of 2009 and rush declared that he wanted the president to failnn nnthey want the economy to suck they need the economy to suck this explains their otherwise puzzling legislative choice over the past three year,0.02500000000000001
200,200,1,you are stuck on stupid obviouslygive me a break and dont votenmoron,-0.7999999999999999
201,201,0,this man drunk a fuck he on drug he a male prostitute,-0.3
202,202,1,who told you thatstupid ask yourself who kick his daughter out of the house at the age 16when it come protecting weaman you guy the last ppl on earth who can open their mounths,0.0
203,203,0,letsgowestxa0try big 100nthey are dope,0.0
204,204,1,ight ima get in on you mr army man or we the fuck you are i have family fighting on battle field right now atleast 20 member are all juggalos just like me you little ick sucking divk whipped bitch if you have the time to sit here and talk shit about family then you obviously arent doing your job fighting for our country your busy trying to start another world war with the juggalo family so shut the fuck up and grow a pair you pussy,-0.11454081632653061
205,205,0,you are so correctthe red sox are the worst team,-0.5
206,206,0,headline going to be in a few month mark wright reject back home,-0.1
207,207,0,i didnt watch game so this morning watched sky see what fuss wa about i have to say at time football fan have to put there loyalty to respective club aside what ballotelli did wa a disgrace he wont admit it but that wa deliberate and ha no place in football i will be amazed if he isnt banned,-0.2
208,208,1,are you retarded you think iraq afghan were avenging death lol get yourself checked buddy even bush would laugh at younnthere is a reason why we are proud of india cuz we are not like u or israel who will or can go to war at the drop of a hat on the long run even that is proving costly to themxa0nnso wake up we are talking about music here not war you dumb moron,-0.017857142857142856
209,209,0,no matter how great your body look theresxa0something pathetic desperate and trashyxa0about a woman that old acting like that,-0.13999999999999999
